NUMERO_FACTURA|ID_CONTRATO|VALOR_FACTURADO|FECHA_MAX_PAGO|FECHA_FACTURACION|FECHA_CORTE|CICLO_FACTURACION|CUENTA
001-230-005739090|113070200138554763|18.63|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555097457
001-230-005749028|115310200138560953|23.23|18/07/2025 00:00:00|06/07/2025 21:39:15|06/07/2025 00:00:00|26|8555025115
001-230-005738315|112580200138568656|11.73|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555092847
001-230-005742908|118840200138567837|20.7|18/07/2025 00:00:00|06/07/2025 21:39:11|06/07/2025 00:00:00|26|8555015283
001-230-005750300|102100200138535200|21.85|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555004123
001-230-005738697|113710200138552282|20.12|14/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8555104302
001-230-005746590|109150200138553420|21.85|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555024108
001-230-005746750|122210200138553090|18.63|14/07/2025 00:00:00|06/07/2025 21:39:14|06/07/2025 00:00:00|26|8555091449
001-230-005745095|109210200138555448|12.65|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555001265
001-230-005749066|116830200138556995|11.73|14/07/2025 00:00:00|06/07/2025 21:39:30|06/07/2025 00:00:00|26|8555087559
001-230-005741549|118450200121527670|26.68|18/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8547291019
001-230-005742824|121390200133384823|20.7|18/07/2025 00:00:00|06/07/2025 21:39:09|06/07/2025 00:00:00|26|8552453654
001-230-005744843|124310200133386348|22.08|18/07/2025 00:00:00|06/07/2025 21:39:34|06/07/2025 00:00:00|26|8552479619
001-230-005744230|123910200133397056|19.55|18/07/2025 00:00:00|06/07/2025 21:39:31|06/07/2025 00:00:00|26|8552477831
001-230-005742618|104840200133649638|20.7|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8552613153
001-230-005743529|108680200134107072|21.85|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8552216344
001-230-005737818|127440200133654094|23.0|18/07/2025 00:00:00|06/07/2025 21:39:30|06/07/2025 00:00:00|26|8552600386
001-230-005738160|125840200126097166|20.7|18/07/2025 00:00:00|06/07/2025 21:39:15|06/07/2025 00:00:00|26|8549335750
001-230-005743898|107250200133648646|19.55|18/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8552597212
001-230-005745339|121630200134964471|22.08|18/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8553299218
001-230-005743678|123740200134945827|16.1|14/07/2025 00:00:00|06/07/2025 21:39:30|06/07/2025 00:00:00|26|8553376426
001-230-005741679|106030200134980118|19.55|18/07/2025 00:00:00|06/07/2025 21:38:56|06/07/2025 00:00:00|26|8553337222
001-230-005743781|121930200134971441|20.7|18/07/2025 00:00:00|06/07/2025 21:39:11|06/07/2025 00:00:00|26|8553318209
001-230-005743958|108310200134974166|23.23|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8553338220
001-230-005736246|113120200134981366|20.7|18/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8553309161
001-230-005748003|116410200134980231|20.7|18/07/2025 00:00:00|06/07/2025 21:39:25|06/07/2025 00:00:00|26|8553334132
001-230-005737304|126610200134979259|20.7|18/07/2025 00:00:00|06/07/2025 21:39:22|06/07/2025 00:00:00|26|8553305227
001-230-005742320|120030200134983044|20.7|18/07/2025 00:00:00|06/07/2025 21:39:26|06/07/2025 00:00:00|26|8553323129
001-230-005749918|102810200135258514|22.08|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8553442015
001-230-005738646|125530200135275972|23.23|14/07/2025 00:00:00|06/07/2025 21:39:12|06/07/2025 00:00:00|26|8553419182
001-230-005737866|127210200135262128|16.1|14/07/2025 00:00:00|06/07/2025 21:39:28|06/07/2025 00:00:00|26|8553476078
001-230-005749228|114580200135261939|16.1|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8553476079
001-230-005750123|100940200134843087|20.7|18/07/2025 00:00:00|06/07/2025 21:38:58|06/07/2025 00:00:00|26|8553291509
001-230-005739836|106100200135265254|19.55|18/07/2025 00:00:00|06/07/2025 21:38:56|06/07/2025 00:00:00|26|8553571007
001-230-005736851|126820200135264846|20.7|14/07/2025 00:00:00|06/07/2025 21:39:24|06/07/2025 00:00:00|26|8553537148
001-230-005743585|107770200135268762|19.55|18/07/2025 00:00:00|06/07/2025 21:38:58|06/07/2025 00:00:00|26|8553500019
001-230-005747625|101250200135275750|20.7|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8553574022
001-230-005749607|101290200135448554|16.1|14/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8553534551
001-230-005745471|122160200135269712|20.7|18/07/2025 00:00:00|06/07/2025 21:39:14|06/07/2025 00:00:00|26|8553545023
001-230-005737426|114210200135447775|18.63|14/07/2025 00:00:00|06/07/2025 21:39:08|06/07/2025 00:00:00|26|8553538526
001-230-005750337|116210200135448298|30.6|14/07/2025 00:00:00|06/07/2025 21:39:22|06/07/2025 00:00:00|26|8553522536
001-230-005741028|104470200135277144|19.55|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8553566023
001-230-005743323|108980200135457748|42.29|14/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8553539668
001-230-005747269|117170200134981035|29.36|14/07/2025 00:00:00|06/07/2025 21:39:33|06/07/2025 00:00:00|26|8553410191
001-230-005750139|102020200136289940|21.85|18/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8554065558
001-230-005738451|113330200136277821|44.3|18/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8554061311
001-230-005747676|102920200136304790|18.4|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8554148295
001-230-005748637|116450200136339453|21.85|18/07/2025 00:00:00|06/07/2025 21:39:25|06/07/2025 00:00:00|26|8554169099
001-230-005736405|100010200136282627|41.13|18/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8554071429
001-230-005747405|103230200136330713|24.38|14/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8554129863
001-230-005739226|112520200136385764|20.7|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8554196079
001-230-005739490|106910200136390544|19.66|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8554184081
001-230-005736090|113610200136406328|16.1|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8554218858
001-230-005741557|118310200136417017|20.7|18/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8554171183
001-230-005740859|104090200136399892|23.0|18/07/2025 00:00:00|06/07/2025 21:38:58|06/07/2025 00:00:00|26|8554195082
001-230-005745553|122350200124217880|22.08|18/07/2025 00:00:00|06/07/2025 21:39:16|06/07/2025 00:00:00|26|8547950963
001-230-005744118|110530200136415288|20.7|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8554217980
001-230-005739450|105150200136352334|23.0|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8554191069
001-230-005745766|108770200136433327|16.1|14/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8554226438
001-230-005744710|108670200136416821|16.1|14/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8554221117
001-230-005741053|104790200136418169|31.76|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8554239053
001-230-005741581|120530200136419229|21.85|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8554155204
001-230-005740682|117880200136428229|16.1|14/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8554222379
001-230-005749157|102780200136430091|8.62|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8554240318
001-230-005748159|103350200138460274|18.4|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555054927
001-230-005740697|119280200136889260|18.4|14/07/2025 00:00:00|06/07/2025 21:39:16|06/07/2025 00:00:00|26|8554423317
001-230-005749258|117040200138410522|21.85|18/07/2025 00:00:00|06/07/2025 21:39:32|06/07/2025 00:00:00|26|8554973786
001-230-005747300|103110200136997259|20.93|14/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8554461640
001-230-005742728|118870200138403351|18.4|14/07/2025 00:00:00|06/07/2025 21:39:11|06/07/2025 00:00:00|26|8554980597
001-230-005749829|101550200138297897|20.93|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8554597750
001-230-005743486|124940200122948509|40.25|18/07/2025 00:00:00|06/07/2025 21:39:39|06/07/2025 00:00:00|26|8547952124
001-230-005741428|104710200120024461|24.15|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8546604766
001-230-005736913|113580200136417903|15.94|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8554242040
001-230-005741894|104740200120040870|40.25|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8546616168
001-230-005741991|104520200125390915|23.0|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8549137173
001-230-005749669|116460200132162124|23.0|18/07/2025 00:00:00|06/07/2025 21:39:25|06/07/2025 00:00:00|26|8552031560
001-230-005740163|103640200132294782|25.7|18/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8551317643
001-230-005741481|118310200132162173|23.23|18/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8552050404
001-230-005737948|127050200136409741|14.26|14/07/2025 00:00:00|06/07/2025 21:39:26|06/07/2025 00:00:00|26|8554214883
001-230-005740603|118680200134113773|20.7|18/07/2025 00:00:00|06/07/2025 21:39:10|06/07/2025 00:00:00|26|8552205726
001-230-005746087|108300200125388378|20.7|18/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8549145166
001-230-005742474|118020200138585990|16.1|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555118186
001-230-005739984|105880200136420870|16.1|14/07/2025 00:00:00|06/07/2025 21:38:56|06/07/2025 00:00:00|26|8554226167
001-230-005741732|105680200132313634|22.08|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8551318646
001-230-005747327|114650200132161455|23.0|18/07/2025 00:00:00|06/07/2025 21:39:08|06/07/2025 00:00:00|26|8552040447
001-230-005747730|103070200123868408|19.55|18/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8548381903
001-230-005746216|108860200132285636|23.23|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8551320669
001-230-005738387|111050200135488063|20.7|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8553653031
001-230-005745885|109990200136413628|13.68|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8554204912
001-230-005745726|128140200135268851|18.57|14/07/2025 00:00:00|06/07/2025 21:39:41|06/07/2025 00:00:00|26|8553477274
001-230-005748634|116650200122685494|31.45|18/07/2025 00:00:00|06/07/2025 21:39:28|06/07/2025 00:00:00|26|8547831150
001-230-005740930|118890200135268465|23.23|18/07/2025 00:00:00|06/07/2025 21:39:11|06/07/2025 00:00:00|26|8553570015
001-230-005740385|106940200136741158|25.53|18/07/2025 00:00:00|06/07/2025 21:38:59|06/07/2025 00:00:00|26|8554330900
001-230-005745403|109430200135263142|18.63|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8553522118
001-230-005741334|106220200136405499|20.12|14/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8554208885
001-230-005738320|112580200134955945|23.0|18/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8553314123
001-230-005742321|120030200135275658|16.1|14/07/2025 00:00:00|06/07/2025 21:39:26|06/07/2025 00:00:00|26|8553534442
001-230-005741554|118450200135266895|12.13|14/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8553532217
001-230-005738953|126010200124027380|31.71|18/07/2025 00:00:00|06/07/2025 21:39:17|06/07/2025 00:00:00|26|8548458379
001-230-005744388|124910200138582494|18.4|14/07/2025 00:00:00|06/07/2025 21:39:39|06/07/2025 00:00:00|26|8555111101
001-230-005744049|123350200138559351|18.63|14/07/2025 00:00:00|06/07/2025 21:39:27|06/07/2025 00:00:00|26|8555092646
001-230-005747305|116150200138567509|13.68|14/07/2025 00:00:00|06/07/2025 21:39:22|06/07/2025 00:00:00|26|8555101751
001-230-005741212|119250200138568843|11.5|14/07/2025 00:00:00|06/07/2025 21:39:16|06/07/2025 00:00:00|26|8555095797
001-230-005736590|113740200138553363|13.95|14/07/2025 00:00:00|06/07/2025 21:39:07|06/07/2025 00:00:00|26|8555083478
001-230-005739622|120880200138560045|14.26|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555088662
001-230-005748218|101630200138558964|14.03|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555092621
001-230-005744473|110500200138556013|16.1|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8555091535
001-230-005739782|105500200138560800|14.26|14/07/2025 00:00:00|06/07/2025 21:39:01|06/07/2025 00:00:00|26|8555101575
001-230-005749570|114710200138567169|34.48|14/07/2025 00:00:00|06/07/2025 21:39:08|06/07/2025 00:00:00|26|8555099819
001-230-005736095|113610200138563775|16.1|14/07/2025 00:00:00|06/07/2025 21:39:06|06/07/2025 00:00:00|26|8555080805
001-230-005749089|102630200138564807|19.18|14/07/2025 00:00:00|06/07/2025 21:39:03|06/07/2025 00:00:00|26|8555101685
001-230-005749610|101770200138566846|14.26|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555087675
001-230-005738674|100060200138566287|13.8|14/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8555090775
001-230-005748987|102440200138567868|21.85|18/07/2025 00:00:00|06/07/2025 21:39:02|06/07/2025 00:00:00|26|8554995292
001-230-005737012|113020200138567289|13.8|14/07/2025 00:00:00|06/07/2025 21:39:05|06/07/2025 00:00:00|26|8555096477
001-230-005745607|123100200138552818|9.76|14/07/2025 00:00:00|06/07/2025 21:39:24|06/07/2025 00:00:00|26|8555096416
001-230-005740482|105110200138570227|14.03|14/07/2025 00:00:00|06/07/2025 21:39:00|06/07/2025 00:00:00|26|8555088869
001-230-005736765|126730200138557846|15.64|14/07/2025 00:00:00|06/07/2025 21:39:24|06/07/2025 00:00:00|26|8555085577
001-230-005749107|116670200138559560|16.1|14/07/2025 00:00:00|06/07/2025 21:39:28|06/07/2025 00:00:00|26|8555093616
001-230-005738637|125730200138560947|17.59|14/07/2025 00:00:00|06/07/2025 21:39:14|06/07/2025 00:00:00|26|8555085656
001-230-005741859|119120200138578464|22.19|18/07/2025 00:00:00|06/07/2025 21:39:15|06/07/2025 00:00:00|26|8555007154
001-230-005740604|118680200138573649|17.59|14/07/2025 00:00:00|06/07/2025 21:39:10|06/07/2025 00:00:00|26|8555084912
001-230-005738269|127240200138566611|16.1|14/07/2025 00:00:00|06/07/2025 21:39:28|06/07/2025 00:00:00|26|8555100783
001-230-005736332|110690200138560188|19.66|18/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8555024114
001-230-005739360|106140200138558678|34.48|14/07/2025 00:00:00|06/07/2025 21:38:56|06/07/2025 00:00:00|26|8555084637
001-230-005747853|117310200138552942|18.63|14/07/2025 00:00:00|06/07/2025 21:39:35|06/07/2025 00:00:00|26|8555093436
001-230-005739387|106230200138551634|31.0|14/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8555100377
001-230-005749679|117050200138561133|14.26|14/07/2025 00:00:00|06/07/2025 21:39:32|06/07/2025 00:00:00|26|8555084699
001-230-005744961|107320200138592685|16.1|14/07/2025 00:00:00|06/07/2025 21:38:57|06/07/2025 00:00:00|26|8555093664
001-230-005746279|109830200138562279|11.73|14/07/2025 00:00:00|06/07/2025 21:39:04|06/07/2025 00:00:00|26|8555089712
001-230-005746117|124190200138554576|23.23|14/07/2025 00:00:00|06/07/2025 21:39:33|06/07/2025 00:00:00|26|8555080563
